"L1 Radio","https://d34pj260kw1xmk.cloudfront.net/live/l1/radio/index.m3u8"
"RTV Noord","http://media.rtvnoord.nl/icecast/rtvnoord/radio"
"RCO Concertgebouworkest webradio","http://rrr.sz.xlcdn.com/?account=RCOLiveWebradio&file=mp3-192&type=live&service=icecast&port=8000&output=pls"
"NPO Radio 5","https://icecast.omroep.nl/radio5-sb-aac"
"Freeminded FM","https://freemindedfm.nl/stream;"
"VRT Radio 2 Oost-Vlaanderen","http://icecast.vrtcdn.be/ra2ovl.aac"
"Pinguin On the Rocks","http://streams.pinguinradio.com/PinguinOnTheRocks192.mp3"
"Pinguin Aardschok","https://streams.pinguinradio.com/Aardschok192.mp3"
"Zoe FM","http://streams.movemedia.eu:8000/zoefmmp3"
"Memories 1251","http://caster04.streampakket.com:9348/listen.mp3"
"LX Classics","http://www.lxclassics.com/playlist/LXClassics.m3u"
"ClubFM","http://www.clubfmserver.be:8000/clubfm.mp3"
"Feel Good Radio 107.6 FM","http://live.feelgoodradio.eu:8344/stream"
"Freez FM","http://stream.freezfm.nl/freezfm"
"Sky Radio 90's Hits","http://playerservices.streamtheworld.com/api/livestream-redirect/SRGSTR05.mp3"
"Concertzender Solta a Franga","http://streams.greenhost.nl:8080/slotaafranga"
"Concertzender Filmmuziek","http://streams.greenhost.nl:8080/film"
"Omroep Brabant","http://streaming.omroepbrabant.nl/mp3hq"
"40up Radio","http://40upstream.live-streams.nl/40up1"
"Sky Radio Christmas","http://playerservices.streamtheworld.com/api/livestream-redirect/SRGSTR08.mp3"
"NPO 3FM","http://icecast.omroep.nl/3fm-bb-aac"
"Enschede FM","http://stream1.icehosting.nl:8126/"
"Radio Stad Den Haag","http://94.228.133.3/"
"NPO Radio 5","http://icecast.omroep.nl/radio5-bb-mp3"
"Efteling Kids Radio","http://rrr.sz.xlcdn.com/?account=efteling&file=hdstream&type=live&service=icecast&protocol=http&port=8000&output=pls"
"Vlaamse Wonderjaren","http://fred.torontocast.com:1050/stream"
"scorpio","https://stream.radioscorpio.be/stream"
"BigB21","http://stream.b21fm.nl:9010/"
"Radio M Utrecht","https://media.rtvutrecht.nl/radiomutrecht-bb-mp3"
"VRT Radio 2 Vlaams-Brabant","http://icecast.vrtcdn.be/ra2vlb.aac"
"Sublime - TOP 500","http://playerservices.streamtheworld.com/api/livestream-redirect/SUBLIME500.mp3"
"Reformatorische Omroep Radio 1","https://radio1.reformatorischeomroep.nl/live.m3u"
"NPO Radio 4","https://icecast.omroep.nl/radio4-bb-mp3.m3u"
"Truckersradio","https://stream01.truckersradio.nl//radio//8010//stream.mp3?1614707357"
"Tweede Kamer Live Plenaire zaal","https://livestream.tweedekamer.nl/live/plenaire_zaal/300/prog_index.m3u8"
"Tweede Kamer Debat Direct Audio","https://livestream.tweedekamer.nl/live/plenaire_zaal/audio/prog_index.m3u8?sourcetimestamps=1"
"0nlineradio QUEER","https://stream.0nlineradio.com/queer?ref=radiobrowser"
"Radio Hoyer 2 105.1 Willemstad","http://s10.voscast.com:9772/;"
"X104.3 Philipsburg","http://stream.sxmradio.com:8060/1043.mp3"
"Team FM Twente","http://www.teamfm.nl/player/teamfmtwente.pls"
"Team FM Drenthe en Groningen","http://www.teamfm.nl/player/teamfmdrenthe.pls"
"Radio 2 Oost-Vlaanderen","http://icecast.vrtcdn.be/ra2ovl-high.mp3"
"Radio 538 Party","http://playerservices.streamtheworld.com/m3u/TLPSTR16.m3u"
"Trendy FM","http://stream.trendyfm.be/"
"Veronica TOP1000 AllerTijden","http://playerservices.streamtheworld.com/api/livestream-redirect/SRGSTR10AAC.aac"
"Delta Radio Nijmegen","http://www.deltaradio90.nl/deltaradio90.pls"
"KX Classics","http://stream.kxclassikx.nl/"
"NPO Radio 2 Soul & Jazz","http://icecast.omroep.nl/radio6-bb-aac"
"NPO Funx Arab","http://icecast.omroep.nl/funx-arabfb-bb-mp3"
"VRT Radio 2 West-Vlaanderen","http://icecast.vrtcdn.be/ra2wvl-high.mp3"
"Lounge CROOZE","http://streams.crooze.fm:8008/stream128"
"Radio West","https://liveradio.omroepwest.nl/"
